scheme_type	topic_number	average coherence	coherence_dist
u_mass	1	-1.811195	-1.811195
c_uci	1	-0.165232	-0.165232
c_npmi	1	-0.023838	-0.023838
c_v	1	0.2544515	0.2544515
u_mass	2	-2.069231	-2.029436, -2.109026
c_uci	2	-0.017661	0.0291813, -0.064503
c_npmi	2	0.0125418	0.0105650, 0.0145186
c_v	2	0.4274493	0.3630840, 0.4918145
u_mass	3	-2.109340	-2.130936, -2.431124, -1.765961
c_uci	3	-0.030440	0.0918024, -0.246034, 0.0629092
c_npmi	3	0.0119262	0.0219819, -0.007507, 0.0213045
c_v	3	0.4433019	0.4106220, 0.4186862, 0.5005973
u_mass	4	-2.889767	-2.274286, -1.836523, -2.466257, -4.982004
c_uci	4	-0.580570	0.0251602, 0.1686432, -0.190790, -2.325293
c_npmi	4	0.0019743	0.0241512, 0.0372214, -0.000658, -0.052817
c_v	4	0.4506031	0.5056091, 0.4554700, 0.4022287, 0.4391046
u_mass	5	-2.518073	-2.190937, -2.300501, -1.928500, -4.045000, -2.125428
c_uci	5	-0.426723	0.1709213, -0.142807, -0.219400, -1.942746, 0.0004150
c_npmi	5	0.0095016	0.0335229, -0.003573, 0.0230107, -0.023563, 0.0181114
c_v	5	0.4374129	0.4094708, 0.3726308, 0.4901004, 0.5068479, 0.4080146
u_mass	6	-2.515346	-2.375508, -2.527975, -2.094040, -2.798340, -2.541128, -2.755088
c_uci	6	-0.451966	-0.303125, -0.126605, -0.381823, -0.992641, -0.304726, -0.602873
c_npmi	6	0.0112047	0.0165024, 0.0349412, 0.0035067, 0.0018484, -0.005940, 0.0163707
c_v	6	0.4479334	0.3990460, 0.4213016, 0.4685844, 0.5152355, 0.4019628, 0.4814700
u_mass	7	-5.805862	-21.60060, -2.168093, -2.663939, -2.326873, -2.230460, -3.650037, -6.001032
c_uci	7	-2.605663	-12.33262, -0.072458, -0.827544, 0.0387024, 0.0250940, -1.698090, -3.372721
c_npmi	7	-0.067710	-0.407781, 0.0245351, -0.006347, 0.0095493, 0.0346661, -0.034832, -0.093763
c_v	7	0.6705137	0.7185175, 0.6399988, 0.6812372, 0.6453325, 0.6595712, 0.6602437, 0.6886952
u_mass	8	-5.044436	-3.045627, -3.393155, -2.203482, -2.245927, -3.067240, -21.08608, -2.809386, -2.504584
c_uci	8	-2.146091	-1.138446, -2.323157, -0.017354, -0.225093, -0.858739, -12.23612, -0.393071, 0.0232565
c_npmi	8	-0.048335	-0.018730, -0.066178, 0.0010110, 0.0429463, 0.0011800, -0.407801, 0.0300531, 0.0308384
c_v	8	0.6435106	0.6558573, 0.6547678, 0.6453172, 0.6203846, 0.5957839, 0.7073822, 0.6741402, 0.5944520
u_mass	9	-4.559215	-3.611244, -2.566618, -14.32644, -2.520151, -2.394860, -2.223035, -3.854726, -2.686354, -6.849498
