### 0	labor, worker, labor market, population, wage
income	0.03335876390337944
capital	0.030551480129361153
factor	0.028569869697093964
labor	0.023780977353453636
productivity	0.019982891157269478
change	0.019157221540808678
sector	0.01833155006170273
wage	0.01651507243514061
industry	0.01403805986046791
employment	0.012386717833578587
market	0.012056449428200722
effect	0.011891315691173077
worker	0.011726181022822857
distribution	0.011726181022822857
model	0.011230777949094772
inequality	0.011230777949094772
population	0.011065644212067127
household	0.010735375806689262
investment	0.010570241138339043
consumption	0.008918899111449718
### 1	trade, export, tariff, agreement, import
trade	0.0667891725897789
export	0.0423719547688961
model	0.02262273244559765
effect	0.017954735085368156
asia	0.01786496490240097
market	0.01615935191512108
analysis	0.015171890147030354
impact	0.013017429038882256
import	0.012837891466915607
product	0.010683431290090084
integration	0.009875508956611156
welfare	0.009157354943454266
system	0.00852897111326456
fta	0.008349432609975338
measure	0.008259663358330727
asian	0.007990355603396893
evidence	0.007541509810835123
relationship	0.006464279256761074
production	0.006105202715843916
price	0.005925664212554693
### 2	lending, asset price, portfolio investment, contagion, rating
debt	0.034724462777376175
capital	0.03255437687039375
business	0.03224436566233635
bank	0.026044122874736786
credit	0.02046390250325203
cycle	0.016123732551932335
crisis	0.015813719481229782
asset	0.015503707341849804
risk	0.012403585948050022
loan	0.012403585948050022
market	0.01116353739053011
flow	0.010233500972390175
finance	0.009923488833010197
banking	0.009613476693630219
financing	0.00930346455425024
equity	0.008063415996730328
government	0.008063415996730328
portfolio	0.008063415996730328
contagion	0.007753404323011637
investment	0.0074433921836316586
### 3	reform, crisis, process, governance, restructuring
crisis	0.04339280351996422
reform	0.022581232711672783
government	0.021220998838543892
market	0.020948952063918114
change	0.01700427569448948
role	0.01700427569448948
asia	0.011699366383254528
sector	0.011019250378012657
process	0.01061118021607399
governance	0.010203110054135323
liberalization	0.009522993117570877
structure	0.008978900499641895
right	0.008434806019067764
strategy	0.007890713401138783
experience	0.007754689548164606
problem	0.007754689548164606
industrialization	0.007618666160851717
institution	0.007346619851887226
success	0.007210596464574337
model	0.006938549689948559
### 4	r d, d, r, amp d, r amp d
firm	0.06121264770627022
r	0.05848207324743271
d	0.05825452506542206
performance	0.03868540748953819
research	0.02321215532720089
productivity	0.022984609007835388
investment	0.021164225414395332
technology	0.02070912905037403
effect	0.019571390002965927
innovation	0.018661199137568474
efficiency	0.015247981064021587
venture	0.015020433813333511
tfp	0.01433778926730156
company	0.013200050219893456
ownership	0.013200050219893456
smes	0.012289858423173428
activity	0.011834762990474701
government	0.01160721480846405
role	0.010697023943066597
factor	0.009786832146346569
### 5	korean peninsula, talk, peninsula, cooperation, security
cooperation	0.024727217853069305
aid	0.022516021504998207
asia	0.017289554700255394
security	0.0140732666477561
welfare	0.010856978595256805
approach	0.010856978595256805
energy	0.010655960999429226
donor	0.010253924876451492
korean	0.00965087115764618
issue	0.009248835034668446
future	0.009047817438840866
power	0.009047817438840866
process	0.008846799843013287
strategy	0.008645781315863132
project	0.008645781315863132
assistance	0.008444763720035553
regime	0.00804272759705782
oda	0.0072386558167636395
context	0.00703763822093606
disaster	0.006635602097958326
### 6	system, research, transport, development, student
system	0.025392111390829086
research	0.018034588545560837
factor	0.015005020424723625
model	0.013995164074003696
analysis	0.012985307723283768
business	0.012841043062508106
government	0.009667209349572659
relationship	0.009234413504600525
environment	0.008801617659628391
port	0.008801617659628391
impact	0.008801617659628391
university	0.008657352067530155
service	0.008368821814656258
effect	0.0077917613089084625
resource	0.00692617055028677
performance	0.006781905423849821
relation	0.006637640297412872
education	0.006493374705314636
knowledge	0.006493374705314636
collaboration	0.0063491095788776875
### 7	foreign direct, gdp, direct investment, cointegration test, direct
investment	0.04757767170667648
capital	0.03330511972308159
effect	0.032553933560848236
fdi	0.029298793524503708
gdp	0.025793254375457764
relationship	0.021536529064178467
test	0.015777427703142166
model	0.015276636928319931
analysis	0.014525449834764004
factor	0.014024659059941769
inflow	0.013273471966385841
impact	0.013023076578974724
causality	0.012772680260241032
panel	0.012772680260241032
consumption	0.012772680260241032
evidence	0.012522284872829914
determinant	0.012522284872829914
interest	0.012021494098007679
estimation	0.01001832913607359
approach	0.009767932817339897
### 8	technology, innovation, knowledge, industry, supplier
industry	0.04611307755112648
firm	0.03948453068733215
technology	0.03170318901538849
innovation	0.02565103769302368
service	0.024210048839449883
sector	0.014699525199830532
value	0.013690833002328873
analysis	0.011673448607325554
strategy	0.011673448607325554
knowledge	0.011673448607325554
production	0.011241151951253414
product	0.010808856226503849
manufacturing	0.00994426291435957
chain	0.00936786737293005
patent	0.008791470900177956
process	0.008359174244105816
method	0.008070976473391056
network	0.008070976473391056
role	0.007926877588033676
information	0.007494581397622824
### 9	shock, vector, inflation, price, exchange
exchange	0.03938831016421318
market	0.03732975944876671
effect	0.035408444702625275
model	0.03376160189509392
price	0.03156581521034241
shock	0.029781736433506012
inflation	0.025115689262747765
stock	0.02099858783185482
crisis	0.01962622068822384
output	0.01715596206486225
currency	0.017018724232912064
regime	0.013450570404529572
money	0.012215439230203629
interest	0.011254782788455486
evidence	0.011117545887827873
volatility	0.010843073017895222
account	0.009607941843569279
demand	0.008647284470498562
role	0.008647284470498562
uncertainty	0.00837281160056591
