### 0	travel, child, income, age, woman
income	0.050995808094739914
welfare	0.02607882022857666
population	0.01999443769454956
distribution	0.019704705104231834
consumption	0.019125239923596382
household	0.019125239923596382
inequality	0.017386844381690025
labor	0.015938183292746544
government	0.015358717180788517
tax	0.01477925293147564
employment	0.014199787750840187
effect	0.013910055160522461
people	0.012171660549938679
trend	0.012171660549938679
expenditure	0.012171660549938679
change	0.009853800758719444
size	0.009564068168401718
preference	0.009274335578083992
%	0.009274335578083992
reduction	0.008694871328771114
### 1	trade, export, import, country trade, trade trade
trade	0.09487218409776688
export	0.07596684247255325
effect	0.02715666964650154
import	0.023203734308481216
product	0.022516265511512756
model	0.022344399243593216
production	0.015985330566763878
market	0.014954129233956337
service	0.014610395766794682
industry	0.014610395766794682
value	0.01271986123174429
impact	0.010485592298209667
%	0.009626258164644241
price	0.009282524697482586
chain	0.00893879123032093
competition	0.00893879123032093
partner	0.00893879123032093
tariff	0.008766924031078815
welfare	0.008595057763159275
sector	0.00825132429599762
### 2	shock, bank, exchange, asset, inflation
market	0.043417345732450485
exchange	0.03443470597267151
crisis	0.02994338423013687
effect	0.026949170976877213
price	0.026949170976877213
capital	0.026699652895331383
shock	0.026574892923235893
model	0.024329233914613724
inflation	0.018715081736445427
stock	0.017841769382357597
currency	0.015596111305058002
bank	0.014847557060420513
debt	0.013225691393017769
output	0.012477138079702854
account	0.011603825725615025
credit	0.010106719098985195
regime	0.009482924826443195
cycle	0.009233406744897366
volatility	0.009233406744897366
impact	0.008983888663351536
### 3	korean peninsula, peninsula, agreement, russian, cold
trade	0.033454667776823044
fdi	0.03005278669297695
investment	0.02494996413588524
asia	0.02494996413588524
fta	0.02494996413588524
integration	0.02353251352906227
cooperation	0.022115062922239304
analysis	0.018996672704815865
energy	0.01871318183839321
security	0.015311299823224545
agreement	0.011909418739378452
rule	0.010775458067655563
relation	0.010775458067655563
people	0.010491968132555485
ftas	0.009641498327255249
issue	0.008791028521955013
disaster	0.008507538586854935
scenario	0.008224047720432281
korean	0.008224047720432281
wto	0.007940557785332203
### 4	productivity, d, r d, r, r d investment
r	0.046000152826309204
d	0.04508748650550842
productivity	0.03961149603128433
capital	0.037968698889017105
investment	0.03377043828368187
firm	0.02719924785196781
sector	0.02683418244123459
effect	0.026469117030501366
factor	0.024096187204122543
technology	0.022453390061855316
change	0.02026299387216568
industry	0.020080460235476494
efficiency	0.018072597682476044
labor	0.01770753227174282
wage	0.01624726690351963
tfp	0.015152068808674812
manufacturing	0.0149695361033082
research	0.01077127456665039
model	0.01004114281386137
quality	0.009858610108494759
### 5	reform, governance, crisis, process, politics
crisis	0.02884818986058235
market	0.026933573186397552
reform	0.024380747228860855
process	0.01850925199687481
government	0.01723283901810646
change	0.01710519939661026
institution	0.014935298822820187
role	0.014680016785860062
asia	0.014169451780617237
transition	0.011999551206827164
sector	0.01072313915938139
regime	0.010212574154138565
governance	0.009191444143652916
experience	0.009191444143652916
condition	0.008553238585591316
liberalization	0.008425597101449966
form	0.007915031164884567
korean	0.00753210810944438
right	0.00753210810944438
structure	0.00740446662530303
### 6	system, development, project, perspective, interview
system	0.028837652876973152
strategy	0.020992401987314224
government	0.015903592109680176
model	0.014737405814230442
research	0.014207322150468826
approach	0.013253170996904373
role	0.012935119681060314
business	0.01261706929653883
project	0.011556901037693024
factor	0.011556901037693024
perspective	0.011238849721848965
program	0.010284697636961937
issue	0.008800461888313293
power	0.008800461888313293
order	0.008270377293229103
environment	0.007528258953243494
problem	0.007528258953243494
resource	0.007528258953243494
implication	0.006786141078919172
method	0.006786141078919172
### 7	innovation, kosime, innovation management kosime, innovation management, management kosime
firm	0.07117130607366562
innovation	0.04856226220726967
industry	0.0383390411734581
technology	0.03145802766084671
knowledge	0.023987213149666786
performance	0.021038208156824112
company	0.01789260096848011
research	0.01690959930419922
patent	0.014746995642781258
relationship	0.01219118945300579
product	0.011994589120149612
venture	0.011797988787293434
market	0.011404788121581078
capability	0.011404788121581078
activity	0.0112081877887249
network	0.010421786457300186
smes	0.009831985458731651
business	0.009635385125875473
information	0.00943878386169672
value	0.009045583195984364
### 8	dac, oda, development assistance, assistance committee, committee
aid	0.054876379668712616
university	0.03073318488895893
donor	0.025246094912290573
oda	0.019210297614336014
assistance	0.01646675355732441
tourism	0.014271918684244156
student	0.012077082879841328
recipient	0.01043095625936985
dac	0.008784829638898373
graph	0.008236120454967022
committee	0.0076874117366969585
tool	0.0076874117366969585
relation	0.0076874117366969585
arbitration	0.006589993834495544
government	0.006589993834495544
sci	0.005492576397955418
k-sure	0.004943867214024067
machine	0.004943867214024067
history	0.0043951584957540035
el	0.0043951584957540035
### 9	cointegration, test, unit, technique, gdp
model	0.04371302202343941
relationship	0.02811483107507229
analysis	0.0270265843719244
factor	0.02630108781158924
effect	0.024487344548106194
gdp	0.023761847987771034
test	0.015418630093336105
impact	0.015418630093336105
causality	0.013786261901259422
demand	0.012335266917943954
function	0.011609770357608795
measure	0.01142839528620243
service	0.010884271934628487
interest	0.010702897794544697
technique	0.010521523654460907
right	0.010521523654460907
indicator	0.009796026162803173
cointegration	0.009614652022719383
series	0.009614652022719383
change	0.009614652022719383
